School Name,Inclusion,Early Childhood Center-Based,ABA-Based Classrooms,Emotional Impairment (EI) - Externalizing,Emotional Impairment (EI) - Internalizing,Mild Intellectual Disabilities,Moderate Intellectual Disabilities,Severe Intellectual Disabilities/Multiple Disabilities,Specific Learning Disabilities,Public Day Schools,Special Admission Schools
Boston Community Leadership Academy-McCormack,,,,Yes,,,,,,,
Brighton High,,,,Yes,,,,,,,
Edison Elementary,,,,Yes,,,,,,,
Ellis Elementary,,,,Yes,,,,,,,
Excel High,,,,Yes,,,,,,,
Greenwood K-8,,,,Yes,,,,,,,
Harvard/Kent Elementary,,,,Yes,,,,,,,
Murphy K-8,,,,Yes,,,,,,,
Ohrenberger,,,,Yes,,,,,,,
TechBoston Academy 7-12,,,,Yes,,,,,,,
Young Achievers K-8,,,,Yes,,,,,,,
East Boston High,,,,,Yes,,,,,,
English High,,,,,Yes,,,,,,
Snowden International High,,,,,Yes,,,,,,
Boston Community Leadership Academy-McCormack Lower,,,,,,Yes,,,,,
Brighton High,,,,,,Yes,,,,,
Charlestown High,,,,,,Yes,,,,,
Community Academy of Science and Health,,,,,,Yes,,,,,
Curley K-8,,,,,,Yes,,,,,
East Boston High,,,,,,Yes,,,,,
Excel High,,,,,,Yes,,,,,
Lyndon K-8,,,,,,Yes,,,,,
Mildred Avenue K-8,,,,,,Yes,,,,,
Up Academy Holland,,,,,,Yes,,,,,
Brighton High,,,,,,,Yes,,,,
Charlestown High,,,,,,,Yes,,,,
Community Academy of Science and Health,,,,,,,Yes,,,,
Conley Elementary,,,,,,,Yes,,,,
East Boston High,,,,,,,Yes,,,,
Frederick Pilot Middle School,,,,,,,Yes,,,,
Mildred Avenue K-8,,,,,,,Yes,,,,
Perry Elementary,,,,,,,Yes,,,,
Quincy Upper School,,,,,,,Yes,,,,
Taylor Elementary,,,,,,,Yes,,,,
Umana K-8,,,,,,,Yes,,,,
Blackstone Elementary,,,,,,,,Yes,,,
Charlestown High,,,,,,,,Yes,,,
Condon K-8 (severe multiple disabilities),,,,,,,,Yes,,,
English High,,,,,,,,Yes,,,
Frederick Pilot Middle,,,,,,,,Yes,,,
Murphy K-8,,,,,,,,Yes,,,
Quincy Elementary,,,,,,,,Yes,,,
Brighton High,,,,,,,,,Yes,,
Charlestown High,,,,,,,,,Yes,,
Community Academy of Science and Health,,,,,,,,,Yes,,
Condon K-8,,,,,,,,,Yes,,
East Boston High School,,,,,,,,,Yes,,
Eliot K-8 Innovation School - Intermediate,,,,,,,,,Yes,,
Eliot K-8 Innovation School - Upper,,,,,,,,,Yes,,
English High,,,,,,,,,Yes,,
Excel High,,,,,,,,,Yes,,
Fenway High,,,,,,,,,Yes,,
Frederick Pilot Middle,,,,,,,,,Yes,,
Guild Elementary,,,,,,,,,Yes,,
Hennigan K-8,,,,,,,,,Yes,,
Kenny Elementary,,,,,,,,,Yes,,
Mather Elementary,,,,,,,,,Yes,,
New Mission High,,,,,,,,,Yes,,
Quincy Elementary,,,,,,,,,Yes,,
Quincy Upper School,,,,,,,,,Yes,,
Snowden International High,,,,,,,,,Yes,,
Sumner Elementary,,,,,,,,,Yes,,
TechBoston Academy 6-12,,,,,,,,,Yes,,
Carter High,,,,,,,,,,Yes,
Horace Mann School for the Deaf & Hard of Hearing,,,,,,,,,,Yes,
Mel H King Elementary,,,,,,,,,,Yes,
Mel H King Middle,,,,,,,,,,Yes,
Mel H King Prep High School,,,,,,,,,,Yes,
Mel H King South End Academy,,,,,,,,,,Yes,
Boston Arts Academy,,,,,,,,,,,Yes
Boston Day and Evening Academy (in-district charter),,,,,,,,,,,Yes
Boston Green Academy (in-district charter),,,,,,,,,,,Yes
Boston Latin Academy,,,,,,,,,,,Yes
Boston Latin School,,,,,,,,,,,Yes
Dudley Street Neighborhood School (in-district charter),,,,,,,,,,,Yes
Edward M Kennedy Health Careers Academy 9-10 (in-district charter),,,,,,,,,,,Yes
Edward M Kennedy Health Careers Academy 11-12 (in-district charter),,,,,,,,,,,Yes
Madison Park Vocational and Technical High School,,,,,,,,,,,Yes
O’Bryant School of Math & Science,,,,,,,,,,,Yes
UP Academy Boston (in-district charter),,,,,,,,,,,Yes
UP Academy Dorchester (in-district charter),,,,,,,,,,,Yes
